agent,n,buzz_accuracy,mean_buzz_step,mean_sq,mean_reward_like,ece,brier,n_calibration
threshold_0.5,44.0,0.38636363636363635,3.5,0.24329480238867543,0.07954545454545454,0.12325739792802118,0.19771692396563453,44.0
threshold_0.7,44.0,0.38636363636363635,3.9545454545454546,0.12951728674082275,0.07954545454545454,0.09118151664733887,0.19500838191143866,44.0
threshold_0.9,44.0,0.38636363636363635,4.045454545454546,0.05277609548500973,0.07954545454545454,0.0876175341281024,0.193487640415439,44.0
softmax_0.5,44.0,0.38636363636363635,3.5,0.24329480238867543,0.0,0.12325739792802118,0.19771692396563453,44.0
softmax_0.7,44.0,0.38636363636363635,3.9545454545454546,0.12951728674082275,0.0,0.09118151664733887,0.19500838191143866,44.0
softmax_0.9,44.0,0.38636363636363635,4.045454545454546,0.05277609548500973,0.0,0.0876175341281024,0.193487640415439,44.0
full_softmax,44.0,0.38636363636363635,3.5,0.24329480238867543,0.0,0.12325739792802118,0.19771692396563453,44.0
shuffle_control,44.0,0.38636363636363635,3.5,0.23666017072656853,0.0,0.12325739792802118,0.19771692396563453,44.0
alias_control,44.0,0.38636363636363635,3.5,0.24329480238867543,0.0,0.12325739792802118,0.19771692396563453,44.0
ppo,44.0,0.3409090909090909,0.0,0.32561863503155536,-0.47600649350649354,0.09090909090909088,0.23295454545454544,44.0
